component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
526e78bde558015e50e0f7fc,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui,automation,ai",layout,ai,layout,layout,app/layout.tsx,.tsx,51,"RootLayout,metadata","@vercel/analytics/next,next,next/font/google,react","@vercel/analytics,next,react",next-react,pnpm,100,55,catalog-only,True,none,secondary,none,"Frontend component for ai; review as feature component, provider, page, or hook.","exports:RootLayout, metadata | imports:@vercel/analytics/next, next, next/font/google, react | frontend-score:115 | ui-score:70 | automation-score:45 | ai-score:45",fbcf4991d6aa2f53
3b9824449c5ace8a1e70112f,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui,security,automation,ai",page,ai,page,page,app/page.tsx,.tsx,241,VibeCheck2025,"@/components/achievement-card,@/components/share-card,@/components/stat-counter,@/components/ui/button,@/components/ui/card,framer-motion,lucide-react,react","@/components,framer-motion,lucide-react,react",next-react,pnpm,100,40,site-specific-or-low-confidence,True,none,secondary,none,"Frontend component for ai; review as feature component, provider, page, or hook.","exports:VibeCheck2025 | imports:@/components/achievement-card, @/components/share-card, @/components/stat-counter, @/components/ui/button, @/components/ui/card, framer-motion, lucide-react, react | frontend-score:115 | ui-score:70 | security-score:55 | automation-score:45 | ai-score:45",c1af301f135caaad
d451ac90b38b4e967b8ff20f,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui",ui-provider,design-system,theme-provider,theme-provider,components/theme-provider.tsx,.tsx,11,ThemeProvider,"next-themes,react","next-themes,react",next-react,pnpm,100,80,strong-shared-candidate,False,none,none,none,"Frontend component for design-system; review as feature component, provider, page, or hook.","exports:ThemeProvider | imports:next-themes, react | frontend-score:115 | ui-score:70",7c1edcfa7a0614bf
02f9a4904fdf85ee6de4c62f,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui,observability",feature-ui,observability,stat-counter,stat-counter,components/stat-counter.tsx,.tsx,26,StatCounter,"@react-spring/web,react","@react-spring/web,react",next-react,pnpm,100,55,catalog-only,False,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:StatCounter | imports:@react-spring/web, react | frontend-score:115 | ui-score:70 | observability-score:55",61e0b6cfef9f4e49
88ff43431553e9bde0ac5ad1,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui",feature-ui,commerce,achievement-card,achievement-card,components/achievement-card.tsx,.tsx,51,AchievementCard,"@/components/ui/card,framer-motion,lucide-react","@/components,framer-motion,lucide-react",next-react,pnpm,100,30,site-specific-or-low-confidence,False,none,none,none,"Frontend component for commerce; review as feature component, provider, page, or hook.","exports:AchievementCard | imports:@/components/ui/card, framer-motion, lucide-react | frontend-score:115 | ui-score:55",4d40e9f2a29a35f4
dd9b722652107c2e9c771a6a,mbarbine__2025-year-in-review-webby,frontend,"frontend,ui,observability,ai",feature-ui,observability,share-card,share-card,components/share-card.tsx,.tsx,108,ShareCard,"@/components/ui/button,@/components/ui/card,framer-motion,lucide-react,react","@/components,framer-motion,lucide-react,react",next-react,pnpm,100,45,site-specific-or-low-confidence,True,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:ShareCard | imports:@/components/ui/button, @/components/ui/card, framer-motion, lucide-react, react | frontend-score:115 | ui-score:70 | observability-score:55 | ai-score:45",331b73566da8129c
0effe0a78c7156ddfa98da79,mbarbine__FlaskFlow-www,frontend,"frontend,ui,security",layout,discovery,layout,layout,app/layout.tsx,.tsx,112,"RootLayout,metadata","next,next/font/google,react","next,react",next-react,pnpm,100,55,catalog-only,False,none,none,none,"Frontend component for discovery; review as feature component, provider, page, or hook.","exports:RootLayout, metadata | imports:next, next/font/google, react | frontend-score:115 | ui-score:70 | security-score:55",be83501fe10516a2
978dd33167675e2054cd68a1,mbarbine__FlaskFlow-www,frontend,"frontend,ui",page,commerce,page,page,app/page.tsx,.tsx,23,Home,"@/components/accessories,@/components/design-details,@/components/features,@/components/footer,@/components/pricing-section,@/components/product-showcase,@/components/simple-hero,@/components/target-audience",@/components,next-react,pnpm,100,30,site-specific-or-low-confidence,False,none,none,none,"Frontend component for commerce; review as feature component, provider, page, or hook.","exports:Home | imports:@/components/accessories, @/components/design-details, @/components/features, @/components/footer, @/components/pricing-section, @/components/product-showcase, @/components/simple-hero, @/components/target-audience | frontend-score:85 | ui-score:55",ca571ebf87b9c78f
c7c9e4c5deffd02f76c4e085,mbarbine__FlaskFlow-www,frontend,"frontend,ui",ui-provider,design-system,theme-provider,theme-provider,components/theme-provider.tsx,.tsx,11,ThemeProvider,"next-themes,react","next-themes,react",next-react,pnpm,100,80,strong-shared-candidate,False,none,none,none,"Frontend component for design-system; review as feature component, provider, page, or hook.","exports:ThemeProvider | imports:next-themes, react | frontend-score:115 | ui-score:70",7c1edcfa7a0614bf
f9c0a06197b55795864481c4,mbarbine__FlaskFlow-www,frontend,"frontend,ui,observability,security,automation",feature-ui,observability,purchase-section,purchase-section,components/purchase-section.tsx,.tsx,153,PurchaseSection,"@/components/ui/badge,@/components/ui/button,@/components/ui/card,lucide-react,react","@/components,lucide-react,react",next-react,pnpm,100,45,site-specific-or-low-confidence,True,none,secondary,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:PurchaseSection | imports:@/components/ui/badge, @/components/ui/button, @/components/ui/card, lucide-react, react | frontend-score:115 | ui-score:70 | observability-score:55 | security-score:55 | automation-score:45",7cb1393b3c44e52f
3b026baecab87c6c1cc941be,mbarbine__FlaskFlow-www,frontend,"frontend,ui,observability,security,automation",feature-ui,observability,accessories-section,accessories-section,components/accessories-section.tsx,.tsx,148,AccessoriesSection,"@/components/ui/badge,@/components/ui/button,@/components/ui/card,lucide-react","@/components,lucide-react",next-react,pnpm,100,45,site-specific-or-low-confidence,True,none,secondary,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:AccessoriesSection | imports:@/components/ui/badge, @/components/ui/button, @/components/ui/card, lucide-react | frontend-score:115 | ui-score:55 | observability-score:55 | security-score:55 | automation-score:45",9c47976202994412
911312a4b3e865e10e012cf0,mbarbine__FlaskFlow-www,frontend,"frontend,ui,observability,security",feature-ui,observability,design-details,design-details,components/design-details.tsx,.tsx,72,DesignDetails,@/components/ui/card,@/components,next-react,pnpm,100,45,site-specific-or-low-confidence,True,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.",exports:DesignDetails | imports:@/components/ui/card | frontend-score:85 | ui-score:55 | observability-score:55 | security-score:55,017a3612174ba34d
a4a00065bb7e58209f7d820c,mbarbine__FlaskFlow-www,frontend,"frontend,ui,observability,security",feature-ui,observability,features,features,components/features.tsx,.tsx,63,Features,"@/components/ui/card,lucide-react","@/components,lucide-react",next-react,pnpm,100,45,site-specific-or-low-confidence,True,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:Features | imports:@/components/ui/card, lucide-react | frontend-score:115 | ui-score:55 | observability-score:55 | security-score:55",54152ea2310b1882
4a5ec31846c2c4d108136b1d,mbarbine__FlaskFlow-www,frontend,"frontend,ui,observability,security,automation",feature-ui,observability,pricing-section,pricing-section,components/pricing-section.tsx,.tsx,231,PricingSection,"@/components/ui/badge,@/components/ui/button,@/components/ui/card,lucide-react,react","@/components,lucide-react,react",next-react,pnpm,100,40,site-specific-or-low-confidence,True,none,secondary,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:PricingSection | imports:@/components/ui/badge, @/components/ui/button, @/components/ui/card, lucide-react, react | frontend-score:115 | ui-score:70 | observability-score:55 | security-score:55 | automation-score:45",d2b8c7d0fa269594
6ccd9b6f7f45db9b76cf4c59,mbarbine__FlaskFlow-www,frontend,"frontend,ui,observability,security",feature-ui,observability,faq-section,faq-section,components/faq-section.tsx,.tsx,104,FAQSection,"@/components/ui/card,lucide-react,react","@/components,lucide-react,react",next-react,pnpm,100,45,site-specific-or-low-confidence,True,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:FAQSection | imports:@/components/ui/card, lucide-react, react | frontend-score:115 | ui-score:70 | observability-score:55 | security-score:55",a350d4c3d68f240b
8028048312030b6447a298da,mbarbine__FlaskFlow-www,frontend,"frontend,ui,observability,security",feature-ui,observability,simple-hero,simple-hero,components/simple-hero.tsx,.tsx,113,HeroSection,"@/components/ui/button,lucide-react","@/components,lucide-react",next-react,pnpm,100,45,site-specific-or-low-confidence,True,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:HeroSection | imports:@/components/ui/button, lucide-react | frontend-score:115 | ui-score:55 | observability-score:55 | security-score:55",ad41ab0f42e4dfea
d4e3854a6fc5494779f27038,mbarbine__FlaskFlow-www,frontend,"frontend,ui,security",feature-ui,commerce,guarantee-section,guarantee-section,components/guarantee-section.tsx,.tsx,57,GuaranteeSection,"@/components/ui/card,lucide-react","@/components,lucide-react",next-react,pnpm,100,30,site-specific-or-low-confidence,True,none,none,none,"Frontend component for commerce; review as feature component, provider, page, or hook.","exports:GuaranteeSection | imports:@/components/ui/card, lucide-react | frontend-score:115 | ui-score:55 | security-score:55",8cee2907f8121f69
703a4dd80b24278cf1ba3ffd,mbarbine__FlaskFlow-www,frontend,"frontend,ui,observability,security",feature-ui,observability,product-showcase,product-showcase,components/product-showcase.tsx,.tsx,101,ProductShowcase,"@/components/ui/badge,@/components/ui/card",@/components,next-react,pnpm,100,45,site-specific-or-low-confidence,False,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:ProductShowcase | imports:@/components/ui/badge, @/components/ui/card | frontend-score:85 | ui-score:55 | observability-score:55 | security-score:55",82c0f95b66d596f5
350cb52b500186fb6a6d2c19,mbarbine__FlaskFlow-www,frontend,"frontend,ui,observability",feature-ui,observability,social-proof,social-proof,components/social-proof.tsx,.tsx,20,SocialProof,,,next-react,pnpm,90,55,catalog-only,True,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.",exports:SocialProof | frontend-score:85 | ui-score:55 | observability-score:55,da5c67c91a2fe21e
