component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
f61b4ab0bdd7718710df3223,mbarbine__2025-year-in-review-webby,process,"process,observability,automation",process-document,observability,README,readme,README.md,.md,30,,,,next-react,pnpm,55,70,shared-process-candidate,True,primary,secondary,none,"Process component for observability; review for reusable SOP, runbook, onboarding, checklist, or operating model.",process-score:110 | observability-score:55 | automation-score:45,72bfe4b262120299
7cc37c572959f82f1855ae21,mbarbine__2025-year-in-review-webby,process,process,process-document,analytics,bolt,bolt,.jules/bolt.md,.md,3,,,,next-react,pnpm,40,50,catalog-only,True,primary,none,none,"Process component for analytics; review for reusable SOP, runbook, onboarding, checklist, or operating model.",process-score:65,367755cb1c06d0ca
2df96a9e254feb095671ed06,mbarbine__DCF-Audit-Scripts,process,process,process-document,general,README,readme,README.md,.md,1,,,,unknown,unknown,40,50,catalog-only,False,primary,none,none,"Process component for general; review for reusable SOP, runbook, onboarding, checklist, or operating model.",process-score:110,624187783b084021
36c763b831969083d134087d,mbarbine__FlaskFlow-www,process,"process,observability,automation",process-document,observability,README,readme,README.md,.md,30,,,,next-react,pnpm,55,70,shared-process-candidate,True,primary,secondary,none,"Process component for observability; review for reusable SOP, runbook, onboarding, checklist, or operating model.",process-score:110 | observability-score:55 | automation-score:45,30eac216d5aa3b30
bfa0194b259e96a6b3a8730b,mbarbine__JenkinsDB,process,"process,automation",process-document,ai,README,readme,README.txt,.txt,39,,,,unknown,unknown,55,70,shared-process-candidate,True,primary,secondary,none,"Process component for ai; review for reusable SOP, runbook, onboarding, checklist, or operating model.",process-score:145 | automation-score:45,e9b21c2554777326
3fd40d79838d862ac47233cb,mbarbine__JenkinsDB,process,"process,automation",process-document,workflow,README,readme,"Powershell Scripts, Files, and Tasks/Scheduled Tasks/README.txt",.txt,14,,,,unknown,unknown,65,55,catalog-only,True,primary,secondary,none,"Process component for workflow; review for reusable SOP, runbook, onboarding, checklist, or operating model.",process-score:110 | automation-score:50,73789d651d91cdbf
fb5c0bccc1e5d73f3171c12d,mbarbine__JenkinsDB,process,"process,automation",process-document,workflow,README,readme,"Powershell Scripts, Files, and Tasks/Directory Structure/DATA (E DRIVE)/README.txt",.txt,6,,,,unknown,unknown,60,50,catalog-only,True,primary,secondary,none,"Process component for workflow; review for reusable SOP, runbook, onboarding, checklist, or operating model.",process-score:110 | automation-score:50,42cdab1ed8b34b15
4ff868499c59ee21f451c034,mbarbine__JenkinsDB,process,"process,automation",process-document,workflow,workload,workload,"Powershell Scripts, Files, and Tasks/Directory Structure/DATA (E DRIVE)/E-Colon-Slash XML/builds/workload.txt",.txt,0,,,,unknown,unknown,60,50,catalog-only,True,primary,secondary,none,"Process component for workflow; review for reusable SOP, runbook, onboarding, checklist, or operating model.",process-score:65 | automation-score:50,ce1b995bd8cf5e6d
da2e97dbe5e0f46fba42d82a,mbarbine__JenkinsDB,process,"process,observability,automation,ai",process-document,observability,README,readme,"Powershell Scripts, Files, and Tasks/Directory Structure/DATA (E DRIVE)/E-Colon-Slash XML/builds/README.txt",.txt,24,,,,unknown,unknown,65,70,shared-process-candidate,True,primary,secondary,none,"Process component for observability; review for reusable SOP, runbook, onboarding, checklist, or operating model.",process-score:145 | observability-score:55 | automation-score:50 | ai-score:45,dad430cfaecad30c
58cc3f4087e0a183551b2a87,mbarbine__JenkinsDB,process,"process,automation",process-document,ai,README,readme,SQL/Jenkins/README.txt,.txt,13,,,,unknown,unknown,55,70,shared-process-candidate,True,primary,secondary,none,"Process component for ai; review for reusable SOP, runbook, onboarding, checklist, or operating model.",process-score:145 | automation-score:45,6336d9ff573aef7f
